// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="C:\Users\sharongur\source\repos\net10Performance\LeftJoinBenchmark\bin\Release\net10.0\LeftJoinBenchmark-DefaultJob-1/" /p:OutDir="C:\Users\sharongur\source\repos\net10Performance\LeftJoinBenchmark\bin\Release\net10.0\LeftJoinBenchmark-DefaultJob-1\bin\Release\net10.0/" /p:OutputPath="C:\Users\sharongur\source\repos\net10Performance\LeftJoinBenchmark\bin\Release\net10.0\LeftJoinBenchmark-DefaultJob-1\bin\Release\net10.0/" /p:PublishDir="C:\Users\sharongur\source\repos\net10Performance\LeftJoinBenchmark\bin\Release\net10.0\LeftJoinBenchmark-DefaultJob-1\publish/" in C:\Users\sharongur\source\repos\net10Performance\LeftJoinBenchmark\bin\Release\net10.0\LeftJoinBenchmark-DefaultJob-1
// command took 11.97 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="C:\Users\sharongur\source\repos\net10Performance\LeftJoinBenchmark\bin\Release\net10.0\LeftJoinBenchmark-DefaultJob-1/" /p:OutDir="C:\Users\sharongur\source\repos\net10Performance\LeftJoinBenchmark\bin\Release\net10.0\LeftJoinBenchmark-DefaultJob-1\bin\Release\net10.0/" /p:OutputPath="C:\Users\sharongur\source\repos\net10Performance\LeftJoinBenchmark\bin\Release\net10.0\LeftJoinBenchmark-DefaultJob-1\bin\Release\net10.0/" /p:PublishDir="C:\Users\sharongur\source\repos\net10Performance\LeftJoinBenchmark\bin\Release\net10.0\LeftJoinBenchmark-DefaultJob-1\publish/" --output "C:\Users\sharongur\source\repos\net10Performance\LeftJoinBenchmark\bin\Release\net10.0\LeftJoinBenchmark-DefaultJob-1\bin\Release\net10.0/" in C:\Users\sharongur\source\repos\net10Performance\LeftJoinBenchmark\bin\Release\net10.0\LeftJoinBenchmark-DefaultJob-1
// command took 48.7 sec and exited with 0
// ***** Done, took 00:01:01 (61.98 sec)   *****
// Found 2 benchmarks:
//   LeftJoinBenchmark.LeftJoin_Manual: DefaultJob
//   LeftJoinBenchmark.LeftJoin_Linq: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: LeftJoinBenchmark.LeftJoin_Manual: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet LeftJoinBenchmark-DefaultJob-1.dll --anonymousPipes 1176 1944 --benchmarkName LeftJoinBenchmark.LeftJoin_Manual --job Default --benchmarkId 0 in C:\Users\sharongur\source\repos\net10Performance\LeftJoinBenchmark\bin\Release\net10.0\LeftJoinBenchmark-DefaultJob-1\bin\Release\net10.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.2
// Runtime=.NET 10.0.0 (10.0.25.52411), X64 RyuJIT AVX2
// GC=Concurrent Server
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 1133300.00 ns, 1.1333 ms/op
WorkloadJitting  1: 1 op, 49088900.00 ns, 49.0889 ms/op

WorkloadPilot    1: 2 op, 2767300.00 ns, 1.3837 ms/op
WorkloadPilot    2: 3 op, 4401700.00 ns, 1.4672 ms/op
WorkloadPilot    3: 4 op, 6129200.00 ns, 1.5323 ms/op
WorkloadPilot    4: 5 op, 8594700.00 ns, 1.7189 ms/op
WorkloadPilot    5: 6 op, 10125900.00 ns, 1.6877 ms/op
WorkloadPilot    6: 7 op, 11974700.00 ns, 1.7107 ms/op
WorkloadPilot    7: 8 op, 13093200.00 ns, 1.6367 ms/op
WorkloadPilot    8: 9 op, 17840200.00 ns, 1.9822 ms/op
WorkloadPilot    9: 10 op, 16265900.00 ns, 1.6266 ms/op
WorkloadPilot   10: 11 op, 15988700.00 ns, 1.4535 ms/op
WorkloadPilot   11: 12 op, 15205900.00 ns, 1.2672 ms/op
WorkloadPilot   12: 13 op, 27382500.00 ns, 2.1063 ms/op
WorkloadPilot   13: 14 op, 28268600.00 ns, 2.0192 ms/op
WorkloadPilot   14: 15 op, 229598900.00 ns, 15.3066 ms/op
WorkloadPilot   15: 16 op, 7284500.00 ns, 455.2813 us/op
WorkloadPilot   16: 32 op, 17869200.00 ns, 558.4125 us/op
WorkloadPilot   17: 64 op, 31913300.00 ns, 498.6453 us/op
WorkloadPilot   18: 128 op, 61505800.00 ns, 480.5141 us/op
WorkloadPilot   19: 256 op, 127235000.00 ns, 497.0117 us/op
WorkloadPilot   20: 512 op, 200450200.00 ns, 391.5043 us/op
WorkloadPilot   21: 1024 op, 311596100.00 ns, 304.2931 us/op
