// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 2 exe(s) in Parallel: Start   *****
// ***** Done, took 00:02:03 (123.63 sec)   *****
// Found 2 benchmarks:
//   SkipToListBenchmark.SkipTakeToList: Job-HFWDAV(Runtime=.NET 10.0, Toolchain=net10.0)
//   SkipToListBenchmark.SkipTakeToList: Job-NFJGQR(Runtime=.NET 9.0, Toolchain=net9.0)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: SkipToListBenchmark.SkipTakeToList: Job-HFWDAV(Runtime=.NET 10.0, Toolchain=net10.0)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet SkipToListBenchmark-Job-HFWDAV-1.dll --anonymousPipes 1852 1920 --benchmarkName SkipToListBenchmark.SkipTakeToList --job "Runtime=.NET 10.0, Toolchain=net10.0" --benchmarkId 0 in C:\Users\sharongur\source\repos\net10Performance\SkipToListBenchmark\bin\Release\net9.0\SkipToListBenchmark-Job-HFWDAV-1\bin\Release\net10.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.2
// Runtime=.NET 10.0.0 (10.0.25.52411), X64 RyuJIT AVX2
// GC=Concurrent Server
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 1427500.00 ns, 1.4275 ms/op
WorkloadJitting  1: 1 op, 4202800.00 ns, 4.2028 ms/op

OverheadJitting  2: 16 op, 3828500.00 ns, 239.2813 us/op
WorkloadJitting  2: 16 op, 5004400.00 ns, 312.7750 us/op

WorkloadPilot    1: 16 op, 1179200.00 ns, 73.7000 us/op
WorkloadPilot    2: 32 op, 781100.00 ns, 24.4094 us/op
WorkloadPilot    3: 64 op, 1871400.00 ns, 29.2406 us/op
WorkloadPilot    4: 128 op, 3697300.00 ns, 28.8852 us/op
WorkloadPilot    5: 256 op, 6407600.00 ns, 25.0297 us/op
WorkloadPilot    6: 512 op, 12890800.00 ns, 25.1773 us/op
WorkloadPilot    7: 1024 op, 30506800.00 ns, 29.7918 us/op
WorkloadPilot    8: 2048 op, 33168500.00 ns, 16.1956 us/op
WorkloadPilot    9: 4096 op, 75663000.00 ns, 18.4724 us/op
WorkloadPilot   10: 8192 op, 490212500.00 ns, 59.8404 us/op
WorkloadPilot   11: 16384 op, 665642100.00 ns, 40.6276 us/op

OverheadWarmup   1: 16384 op, 514000.00 ns, 31.3721 ns/op
OverheadWarmup   2: 16384 op, 479200.00 ns, 29.2480 ns/op
OverheadWarmup   3: 16384 op, 489200.00 ns, 29.8584 ns/op
OverheadWarmup   4: 16384 op, 507800.00 ns, 30.9937 ns/op
OverheadWarmup   5: 16384 op, 471800.00 ns, 28.7964 ns/op
OverheadWarmup   6: 16384 op, 418800.00 ns, 25.5615 ns/op
OverheadWarmup   7: 16384 op, 457300.00 ns, 27.9114 ns/op
OverheadWarmup   8: 16384 op, 421000.00 ns, 25.6958 ns/op

OverheadActual   1: 16384 op, 437200.00 ns, 26.6846 ns/op
OverheadActual   2: 16384 op, 396100.00 ns, 24.1760 ns/op
OverheadActual   3: 16384 op, 382500.00 ns, 23.3459 ns/op
OverheadActual   4: 16384 op, 375400.00 ns, 22.9126 ns/op
OverheadActual   5: 16384 op, 396400.00 ns, 24.1943 ns/op
OverheadActual   6: 16384 op, 377600.00 ns, 23.0469 ns/op
OverheadActual   7: 16384 op, 388200.00 ns, 23.6938 ns/op
OverheadActual   8: 16384 op, 410700.00 ns, 25.0671 ns/op
OverheadActual   9: 16384 op, 450400.00 ns, 27.4902 ns/op
OverheadActual  10: 16384 op, 342600.00 ns, 20.9106 ns/op
OverheadActual  11: 16384 op, 423900.00 ns, 25.8728 ns/op
OverheadActual  12: 16384 op, 410800.00 ns, 25.0732 ns/op
OverheadActual  13: 16384 op, 480800.00 ns, 29.3457 ns/op
OverheadActual  14: 16384 op, 351400.00 ns, 21.4478 ns/op
OverheadActual  15: 16384 op, 367800.00 ns, 22.4487 ns/op
OverheadActual  16: 16384 op, 437600.00 ns, 26.7090 ns/op
OverheadActual  17: 16384 op, 396000.00 ns, 24.1699 ns/op
OverheadActual  18: 16384 op, 323000.00 ns, 19.7144 ns/op
OverheadActual  19: 16384 op, 386100.00 ns, 23.5657 ns/op
OverheadActual  20: 16384 op, 406200.00 ns, 24.7925 ns/op

OverheadWarmup   1: 16384 op, 360300.00 ns, 21.9910 ns/op
OverheadWarmup   2: 16384 op, 433100.00 ns, 26.4343 ns/op
OverheadWarmup   3: 16384 op, 484000.00 ns, 29.5410 ns/op
OverheadWarmup   4: 16384 op, 456000.00 ns, 27.8320 ns/op
OverheadWarmup   5: 16384 op, 420500.00 ns, 25.6653 ns/op
OverheadWarmup   6: 16384 op, 418000.00 ns, 25.5127 ns/op
OverheadWarmup   7: 16384 op, 420100.00 ns, 25.6409 ns/op
OverheadWarmup   8: 16384 op, 400000.00 ns, 24.4141 ns/op

// BeforeActualRun
WorkloadActual   1: 16384 op, 321341500.00 ns, 19.6131 us/op
WorkloadActual   2: 16384 op, 383118800.00 ns, 23.3837 us/op
WorkloadActual   3: 16384 op, 2198155900.00 ns, 134.1648 us/op
WorkloadActual   4: 16384 op, 1715967100.00 ns, 104.7343 us/op
WorkloadActual   5: 16384 op, 1747458300.00 ns, 106.6564 us/op
WorkloadActual   6: 16384 op, 2735363900.00 ns, 166.9534 us/op
WorkloadActual   7: 16384 op, 366699200.00 ns, 22.3815 us/op
WorkloadActual   8: 16384 op, 1183997500.00 ns, 72.2655 us/op
WorkloadActual   9: 16384 op, 1423345600.00 ns, 86.8741 us/op
WorkloadActual  10: 16384 op, 585971400.00 ns, 35.7649 us/op
WorkloadActual  11: 16384 op, 339233000.00 ns, 20.7051 us/op
WorkloadActual  12: 16384 op, 337009200.00 ns, 20.5694 us/op
WorkloadActual  13: 16384 op, 1001280400.00 ns, 61.1133 us/op
WorkloadActual  14: 16384 op, 1438844800.00 ns, 87.8201 us/op
WorkloadActual  15: 16384 op, 832120300.00 ns, 50.7886 us/op
WorkloadActual  16: 16384 op, 262090800.00 ns, 15.9968 us/op
WorkloadActual  17: 16384 op, 1101993100.00 ns, 67.2603 us/op
WorkloadActual  18: 16384 op, 2602851400.00 ns, 158.8654 us/op
WorkloadActual  19: 16384 op, 754221100.00 ns, 46.0340 us/op
WorkloadActual  20: 16384 op, 238428300.00 ns, 14.5525 us/op
WorkloadActual  21: 16384 op, 1120659100.00 ns, 68.3996 us/op
WorkloadActual  22: 16384 op, 2653760000.00 ns, 161.9727 us/op
WorkloadActual  23: 16384 op, 729865200.00 ns, 44.5474 us/op
WorkloadActual  24: 16384 op, 238502200.00 ns, 14.5570 us/op
WorkloadActual  25: 16384 op, 416684800.00 ns, 25.4324 us/op
WorkloadActual  26: 16384 op, 1418423200.00 ns, 86.5737 us/op
WorkloadActual  27: 16384 op, 864184900.00 ns, 52.7457 us/op
WorkloadActual  28: 16384 op, 1549733600.00 ns, 94.5882 us/op
WorkloadActual  29: 16384 op, 760611900.00 ns, 46.4241 us/op
WorkloadActual  30: 16384 op, 439767000.00 ns, 26.8412 us/op
WorkloadActual  31: 16384 op, 1255017200.00 ns, 76.6002 us/op
WorkloadActual  32: 16384 op, 2182084300.00 ns, 133.1839 us/op
WorkloadActual  33: 16384 op, 722098300.00 ns, 44.0734 us/op
WorkloadActual  34: 16384 op, 269348600.00 ns, 16.4397 us/op
WorkloadActual  35: 16384 op, 385834400.00 ns, 23.5495 us/op
WorkloadActual  36: 16384 op, 1435858000.00 ns, 87.6378 us/op
WorkloadActual  37: 16384 op, 812899100.00 ns, 49.6154 us/op
WorkloadActual  38: 16384 op, 2013926700.00 ns, 122.9203 us/op
WorkloadActual  39: 16384 op, 1615160600.00 ns, 98.5816 us/op
WorkloadActual  40: 16384 op, 343876500.00 ns, 20.9886 us/op
WorkloadActual  41: 16384 op, 1047889800.00 ns, 63.9581 us/op
WorkloadActual  42: 16384 op, 456392900.00 ns, 27.8560 us/op
WorkloadActual  43: 16384 op, 430776500.00 ns, 26.2925 us/op
WorkloadActual  44: 16384 op, 401085300.00 ns, 24.4803 us/op
WorkloadActual  45: 16384 op, 2320742000.00 ns, 141.6469 us/op
WorkloadActual  46: 16384 op, 566425800.00 ns, 34.5719 us/op
WorkloadActual  47: 16384 op, 313743600.00 ns, 19.1494 us/op
WorkloadActual  48: 16384 op, 1188431600.00 ns, 72.5361 us/op
WorkloadActual  49: 16384 op, 2304642400.00 ns, 140.6642 us/op
WorkloadActual  50: 16384 op, 632602100.00 ns, 38.6110 us/op
WorkloadActual  51: 16384 op, 2724940700.00 ns, 166.3172 us/op
WorkloadActual  52: 16384 op, 702463300.00 ns, 42.8750 us/op
WorkloadActual  53: 16384 op, 364225300.00 ns, 22.2305 us/op
WorkloadActual  54: 16384 op, 971723500.00 ns, 59.3093 us/op
WorkloadActual  55: 16384 op, 569823500.00 ns, 34.7793 us/op
WorkloadActual  56: 16384 op, 1747865100.00 ns, 106.6812 us/op
WorkloadActual  57: 16384 op, 2500996700.00 ns, 152.6487 us/op
WorkloadActual  58: 16384 op, 746123500.00 ns, 45.5398 us/op
WorkloadActual  59: 16384 op, 1552746500.00 ns, 94.7721 us/op
WorkloadActual  60: 16384 op, 1343709700.00 ns, 82.0135 us/op
WorkloadActual  61: 16384 op, 1352145500.00 ns, 82.5284 us/op
WorkloadActual  62: 16384 op, 954707400.00 ns, 58.2707 us/op
WorkloadActual  63: 16384 op, 1420386800.00 ns, 86.6935 us/op
WorkloadActual  64: 16384 op, 1321466400.00 ns, 80.6559 us/op
WorkloadActual  65: 16384 op, 854120300.00 ns, 52.1314 us/op
WorkloadActual  66: 16384 op, 534326300.00 ns, 32.6127 us/op
WorkloadActual  67: 16384 op, 769305800.00 ns, 46.9547 us/op
WorkloadActual  68: 16384 op, 1153230200.00 ns, 70.3876 us/op
WorkloadActual  69: 16384 op, 2252887900.00 ns, 137.5054 us/op
WorkloadActual  70: 16384 op, 814817100.00 ns, 49.7325 us/op
WorkloadActual  71: 16384 op, 368664300.00 ns, 22.5015 us/op
WorkloadActual  72: 16384 op, 1452521800.00 ns, 88.6549 us/op
WorkloadActual  73: 16384 op, 1487495500.00 ns, 90.7895 us/op
WorkloadActual  74: 16384 op, 465248900.00 ns, 28.3965 us/op
WorkloadActual  75: 16384 op, 1978975600.00 ns, 120.7871 us/op
WorkloadActual  76: 16384 op, 607506900.00 ns, 37.0793 us/op
WorkloadActual  77: 16384 op, 1615202100.00 ns, 98.5841 us/op
WorkloadActual  78: 16384 op, 2699732200.00 ns, 164.7786 us/op
WorkloadActual  79: 16384 op, 731618200.00 ns, 44.6544 us/op
WorkloadActual  80: 16384 op, 1586961300.00 ns, 96.8604 us/op
WorkloadActual  81: 16384 op, 967934700.00 ns, 59.0780 us/op
WorkloadActual  82: 16384 op, 2378528600.00 ns, 145.1739 us/op
WorkloadActual  83: 16384 op, 1316258300.00 ns, 80.3380 us/op
WorkloadActual  84: 16384 op, 266867400.00 ns, 16.2883 us/op
WorkloadActual  85: 16384 op, 344459200.00 ns, 21.0241 us/op
WorkloadActual  86: 16384 op, 2150974800.00 ns, 131.2851 us/op
WorkloadActual  87: 16384 op, 1369070700.00 ns, 83.5614 us/op
WorkloadActual  88: 16384 op, 845591300.00 ns, 51.6108 us/op
WorkloadActual  89: 16384 op, 249014200.00 ns, 15.1986 us/op
WorkloadActual  90: 16384 op, 969065000.00 ns, 59.1470 us/op
WorkloadActual  91: 16384 op, 1347326300.00 ns, 82.2343 us/op
WorkloadActual  92: 16384 op, 1317498700.00 ns, 80.4137 us/op
WorkloadActual  93: 16384 op, 467940000.00 ns, 28.5608 us/op
WorkloadActual  94: 16384 op, 446064500.00 ns, 27.2256 us/op
WorkloadActual  95: 16384 op, 1346590900.00 ns, 82.1894 us/op
WorkloadActual  96: 16384 op, 945635600.00 ns, 57.7170 us/op
WorkloadActual  97: 16384 op, 550715700.00 ns, 33.6130 us/op
WorkloadActual  98: 16384 op, 383327100.00 ns, 23.3964 us/op
WorkloadActual  99: 16384 op, 1394163900.00 ns, 85.0930 us/op
WorkloadActual  100: 16384 op, 1344893300.00 ns, 82.0858 us/op

// AfterActualRun
WorkloadResult   1: 16384 op, 320945450.00 ns, 19.5890 us/op
